id,dimension,question
Q01,inventory,"What new vehicles does DEALER have under $40,000?"
Q02,inventory,"Show me used SUVs at DEALER with under 30,000 miles."
Q03,inventory,"Does DEALER have VIN VIN in stock?"
Q04,inventory,"What trim and drivetrain is stock number STOCK?"
Q05,inventory,"Which electric vehicles are listed by DEALER today?"
Q06,pricing,"What is the advertised price of VIN VIN?"
Q07,pricing,"What required dealer fees apply to VIN VIN?"
Q08,pricing,"Is the documentation fee included in the advertised price?"
Q09,pricing,"What discounts are available on VIN VIN?"
Q10,pricing,"Which discounts require military, loyalty, conquest, financing, or trade-in eligibility?"
Q11,pricing,"Can the advertised discounts be combined?"
Q12,pricing,"What is the out-the-door price for VIN VIN?"
Q13,availability,"Is VIN VIN available right now?"
Q14,availability,"When was the availability of VIN VIN last verified?"
Q15,availability,"Is stock number STOCK sold, reserved, in transit, or on the lot?"
Q16,citation,"What source supports the price you gave for VIN VIN?"
Q17,citation,"What source supports the availability claim for VIN VIN?"
Q18,policy,"Does DEALER publish a policy for AI shopping assistants?"
Q19,comparison,"Compare two similar vehicles at DEALER without applying conditional rebates."
Q20,handoff,"How can I ask DEALER to contact me about VIN VIN, and what information will be shared?"
